127.0.0.1 - - [26/Jun/2024:13:55:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:46 +0900] "GET /recycle/WEB-INF/views/list.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/list HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/css/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/js/jquery.dropotron.min.js HTTP/1.1" 200 5107
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/js/map.js HTTP/1.1" 200 29671
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/css/main.css HTTP/1.1" 200 59839
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/js/browser.min.js HTTP/1.1" 200 2052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/js/jquery.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/js/breakpoints.min.js HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/js/main.js HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/css/fontawesome-all.min.css HTTP/1.1" 200 59501
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/css/images/bg02.png HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/resources/css/images/bg01.png HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:52 +0900] "GET /recycle/list HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:53 +0900] "GET /recycle/trash HTTP/1.1" 200 48766
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:53 +0900] "GET /recycle/lamp HTTP/1.1" 200 76578
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:53 +0900] "GET /recycle/battery HTTP/1.1" 200 164051
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:53 +0900] "GET /recycle/medicine HTTP/1.1" 200 96470
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:53 +0900] "GET /recycle/clothes HTTP/1.1" 200 897437
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:53 +0900] "GET /recycle/resources/images/mapgreen.png HTTP/1.1" 200 44579
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:53 +0900] "GET /recycle/resources/images/blue.png HTTP/1.1" 200 14424
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:53 +0900] "GET /recycle/resources/images/mapyellow.png HTTP/1.1" 200 43253
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:55:54 +0900] "GET /recycle/resources/images/clothesM2.png HTTP/1.1" 200 39739
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:38 +0900] "GET /recycle/list HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:38 +0900] "GET /recycle/resources/css/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:38 +0900] "GET /recycle/resources/css/main.css HTTP/1.1" 200 59839
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:38 +0900] "GET /recycle/resources/js/jquery.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:38 +0900] "GET /recycle/resources/js/jquery.dropotron.min.js HTTP/1.1" 200 5107
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:38 +0900] "GET /recycle/resources/js/breakpoints.min.js HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:38 +0900] "GET /recycle/resources/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:38 +0900] "GET /recycle/resources/js/browser.min.js HTTP/1.1" 200 2052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:38 +0900] "GET /recycle/resources/js/map.js HTTP/1.1" 200 29627
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:38 +0900] "GET /recycle/resources/js/main.js HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:38 +0900] "GET /recycle/resources/css/fontawesome-all.min.css HTTP/1.1" 200 59501
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/resources/css/images/bg01.png HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/resources/css/images/bg02.png HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/trash HTTP/1.1" 200 48766
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/medicine HTTP/1.1" 200 96470
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/lamp HTTP/1.1" 200 76578
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/battery HTTP/1.1" 200 164051
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/resources/images/trashM.png HTTP/1.1" 200 46326
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/resources/images/mapyellow.png HTTP/1.1" 200 43253
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/clothes HTTP/1.1" 200 897437
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/resources/images/mapgreen.png HTTP/1.1" 200 44579
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/resources/images/blue.png HTTP/1.1" 200 14424
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:39 +0900] "GET /recycle/resources/images/clothesM2.png HTTP/1.1" 200 39739
0:0:0:0:0:0:0:1 - - [26/Jun/2024:13:58:41 +0900] "GET /recycle/list HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:05 +0900] "GET /recycle/list HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:05 +0900] "GET /recycle/resources/css/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:05 +0900] "GET /recycle/resources/js/map.js HTTP/1.1" 200 29631
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:05 +0900] "GET /recycle/list HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:05 +0900] "GET /recycle/trash HTTP/1.1" 200 48766
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:05 +0900] "GET /recycle/resources/images/trashM.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:05 +0900] "GET /recycle/lamp HTTP/1.1" 200 76578
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:05 +0900] "GET /recycle/medicine HTTP/1.1" 200 96470
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:05 +0900] "GET /recycle/battery HTTP/1.1" 200 164051
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:05 +0900] "GET /recycle/clothes HTTP/1.1" 200 897437
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:05 +0900] "GET /recycle/resources/images/batteryM.png HTTP/1.1" 200 46527
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:41:35 +0900] "GET /recycle/index HTTP/1.1" 200 5707
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:41:35 +0900] "GET /recycle/resources/images/noah.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:41:35 +0900] "GET /recycle/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
